Feature,Coefficient,Std Error,z-score,P-value,Odds Ratio,CI Lower (2.5%),CI Upper (97.5%)
Q50,1.063800024910345,0.00785000278940723,135.51587858616222,0.0,2.8973601372218796,2.8531233376653535,2.942282814745604
Q48,0.6330749441066439,0.007126072451160734,88.83925169797075,0.0,1.883393012623103,1.8572708007618453,1.9098826291472915
Q46,0.5432424608290186,0.0069642145418159955,78.004842838653,0.0,1.7215799776393292,1.6982407310738918,1.7452399799258342
Q164,0.0894088547704506,0.005955783124767469,15.012107206966402,6.117300296171795e-51,1.0935276589405052,1.080836992831322,1.106367332723707
Q112,0.07152323624831038,0.006034717793216015,11.85196038971597,2.102147096731844e-32,1.0741431094673513,1.0615131675174063,1.0869233231600688
Q110,-0.0424578687715713,0.006002093659783253,-7.073843091796161,1.5070068083661926e-12,0.9584308445391765,0.9472220308739336,0.9697722960651184
Q120,0.05608107813605252,0.006019646069349522,9.316341441003125,1.2042108850378043e-20,1.057683435261742,1.0452779058151291,1.0702361955643738
Q55,0.11504520430850539,0.0061415780441187815,18.732189590698678,2.7055608414362266e-78,1.1219241522311663,1.1085002022564423,1.1355106663917667
Q47,0.1317379611768902,0.006484814342843289,20.3148392863826,9.506058806078636e-92,1.1408093437595193,1.1264014104754123,1.1554015706174703
Q213,-0.012337338083338012,0.005834325369537111,-2.114612624752678,0.03446297676708201,0.9877384548575817,0.976507932125784,0.9990981364386629
